i2 foaf,i1 d
i3 foaf,i1 d
i4 foaf,i1 d
i5 foaf,i1 d
i6 foaf,i1 d
i7 foaf,i1 d
i8 foaf,i1 d
i9 foaf,i1 d
i10 foaf,i1 d
i11 foaf,i1 d
i12 foaf,i1 d
i13 foaf,i1 d
i14 foaf,i1 d
i15 foaf,i1 d
i16 foaf,i1 d
i17 foaf,i1 d
i18 foaf,i1 d
i19 foaf,i1 d
i20 foaf,i1 d
i21 foaf,i1 d
i22 foaf,i1 d
i23 foaf,i1 d
i24 foaf,i1 d
i25 foaf,i1 d
i26 foaf,i1 d
i27 foaf,i1 d
i1 foaf,i10 d
i13 foaf,i10 d
i20 foaf,i10 d
i9 foaf,i100 d
i15 foaf,i100 d
i56 foaf,i100 d
i86 foaf,i100 d
i88 foaf,i100 d
i98 foaf,i100 d
i99 foaf,i100 d
i395 foaf,i100 d
i425 foaf,i100 d
i469 foaf,i100 d
i471 foaf,i100 d
i510 foaf,i100 d
i511 foaf,i100 d
i517 foaf,i100 d
i520 foaf,i100 d
i523 foaf,i100 d
i527 foaf,i100 d
i534 foaf,i100 d
i539 foaf,i100 d
i607 foaf,i100 d
i767 foaf,i100 d
i795 foaf,i100 d
i1080 foaf,i100 d
i1209 foaf,i100 d
i1213 foaf,i100 d
i1405 foaf,i100 d
i1408 foaf,i100 d
i1445 foaf,i100 d
i1450 foaf,i100 d
i1451 foaf,i100 d
i1453 foaf,i100 d
i1469 foaf,i100 d
i1471 foaf,i100 d
i1487 foaf,i100 d
i1499 foaf,i100 d
i1524 foaf,i100 d
i1527 foaf,i100 d
i1539 foaf,i100 d
i1588 foaf,i100 d
i1591 foaf,i100 d
i1594 foaf,i100 d
i1622 foaf,i100 d
i1749 foaf,i100 d
i1846 foaf,i100 d
i1876 foaf,i100 d
i1878 foaf,i100 d
i1919 foaf,i100 d
i1927 foaf,i100 d
i1968 foaf,i100 d
i1973 foaf,i100 d
i1984 foaf,i100 d
i1992 foaf,i100 d
i1993 foaf,i100 d
i1994 foaf,i100 d
i1995 foaf,i100 d
i1998 foaf,i100 d
i2390 foaf,i100 d
i2393 foaf,i100 d
i2395 foaf,i100 d
i2396 foaf,i100 d
i3379 foaf,i100 d
i4142 foaf,i100 d
i4602 foaf,i100 d
i4871 foaf,i100 d
i5079 foaf,i100 d
i5109 foaf,i100 d
i5721 foaf,i100 d
i7059 foaf,i100 d
i7156 foaf,i100 d
i7433 foaf,i100 d
i7734 foaf,i100 d
i8473 foaf,i100 d
i8925 foaf,i100 d
i8947 foaf,i100 d
i9561 foaf,i100 d
i9942 foaf,i100 d
i11386 foaf,i100 d
i12236 foaf,i100 d
i13670 foaf,i100 d
i16133 foaf,i100 d
i16134 foaf,i100 d
i454 foaf,i1000 d
i461 foaf,i1000 d
i462 foaf,i1000 d
i468 foaf,i1000 d
i998 foaf,i1000 d
i1007 foaf,i1000 d
i2008 foaf,i1000 d
i2063 foaf,i1000 d
i2065 foaf,i1000 d
i2069 foaf,i1000 d
i3113 foaf,i1000 d
i13031 foaf,i1000 d
i14238 foaf,i1000 d
i14761 foaf,i1000 d
i23 foaf,i10000 d
i471 foaf,i10000 d
i527 foaf,i10000 d
i1314 foaf,i10000 d
i1387 foaf,i10000 d
i2531 foaf,i10000 d
i2579 foaf,i10000 d
i3828 foaf,i10000 d
i4938 foaf,i10000 d
i7482 foaf,i10000 d
i8097 foaf,i10000 d
i8735 foaf,i10000 d
i8741 foaf,i10000 d
i8749 foaf,i10000 d
i9083 foaf,i10000 d
i10001 foaf,i10000 d
i10294 foaf,i10000 d
i10464 foaf,i10000 d
i11692 foaf,i10000 d
i18038 foaf,i10000 d
i18098 foaf,i10000 d
i19281 foaf,i10000 d
i19799 foaf,i10000 d
i25852 foaf,i10000 d
i82 foaf,i10001 d
i280 foaf,i10001 d
i1029 foaf,i10001 d
i1420 foaf,i10001 d
i1461 foaf,i10001 d
i2525 foaf,i10001 d
i3006 foaf,i10001 d
i4938 foaf,i10001 d
i4969 foaf,i10001 d
i5384 foaf,i10001 d
i5693 foaf,i10001 d
i6891 foaf,i10001 d
i7667 foaf,i10001 d
i7976 foaf,i10001 d
i8097 foaf,i10001 d
i8507 foaf,i10001 d
i9009 foaf,i10001 d
i9526 foaf,i10001 d
i9528 foaf,i10001 d
i9958 foaf,i10001 d
i9988 foaf,i10001 d
i9989 foaf,i10001 d
i9990 foaf,i10001 d
i9991 foaf,i10001 d
i9992 foaf,i10001 d
i9993 foaf,i10001 d
i9994 foaf,i10001 d
i9996 foaf,i10001 d
i9997 foaf,i10001 d
i9999 foaf,i10001 d
i10000 foaf,i10001 d
i10006 foaf,i10001 d
i10007 foaf,i10001 d
i10010 foaf,i10001 d
i10011 foaf,i10001 d
i10014 foaf,i10001 d
i10113 foaf,i10001 d
i11109 foaf,i10001 d
i11692 foaf,i10001 d
i11761 foaf,i10001 d
i12601 foaf,i10001 d
i12669 foaf,i10001 d
i13436 foaf,i10001 d
i14748 foaf,i10001 d
i17379 foaf,i10001 d
i17815 foaf,i10001 d
i18385 foaf,i10001 d
i21479 foaf,i10001 d
i22266 foaf,i10001 d
i32839 foaf,i10001 d
i36791 foaf,i10001 d
i51428 foaf,i10001 d
i761 foaf,i10002 d
i2372 foaf,i10002 d
i4225 foaf,i10002 d
i4874 foaf,i10002 d
i4938 foaf,i10002 d
i10005 foaf,i10002 d
i11206 foaf,i10002 d
i30233 foaf,i10002 d
i910 foaf,i10003 d
i2166 foaf,i10003 d
i2168 foaf,i10003 d
i2260 foaf,i10003 d
i2586 foaf,i10003 d
i3010 foaf,i10003 d
i3018 foaf,i10003 d
i3054 foaf,i10003 d
i4938 foaf,i10003 d
i7469 foaf,i10003 d
i7883 foaf,i10003 d
i7973 foaf,i10003 d
i12434 foaf,i10003 d
i12753 foaf,i10003 d
i14034 foaf,i10003 d
i15156 foaf,i10003 d
i28023 foaf,i10003 d
i4938 foaf,i10004 d
i6286 foaf,i10004 d
i1996 foaf,i10005 d
i4938 foaf,i10005 d
i9485 foaf,i10005 d
i10002 foaf,i10005 d
i15954 foaf,i10005 d
i16344 foaf,i10005 d
i23924 foaf,i10005 d
i30233 foaf,i10005 d
i2367 foaf,i10006 d
i4443 foaf,i10006 d
i4938 foaf,i10006 d
i5732 foaf,i10006 d
i5772 foaf,i10006 d
i6126 foaf,i10006 d
i6505 foaf,i10006 d
i6896 foaf,i10006 d
i7667 foaf,i10006 d
i7745 foaf,i10006 d
i7983 foaf,i10006 d
i8303 foaf,i10006 d
